Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
SSA,F3,1.1640770435333252,"[-28.52276516  34.07640922  -6.73866203 -15.74822015  -4.60162969
  40.99283915  -9.97523988   1.66864322  -2.84292448 -17.96342176
  24.54043306 -12.21199187 -12.8419764    0.39010731  -0.82660845
   2.16111287  16.5777298   -1.81530092 -11.795448    13.21672342
   6.13844     -4.07036656  -8.7989323  -13.19145403  -5.09521194
  21.80011708 -14.38106926  27.58118579  -8.35922069 -21.5972157 ]",0.0,76773.19029608252,28836.557339796393,23831.87058627973,23831.87058627973,23831.87058627973,22101.585804060553,22101.585804060553,22101.585804060553,22101.585804060553,22101.585804060553,22101.585804060553,22101.585804060553,22101.585804060553,22101.585804060553,22101.585804060553,22101.585804060553,22101.585804060553,21372.73515028853,16940.514622579125,14731.572249434354,10239.734132906286,9359.795725683576,7740.758763914299,6848.414124676697,6232.8648264025705,5665.9209554956715,5267.851018700957,5085.776196825409,4955.278122876248,4806.931655341577,4700.309137794386,4640.4891012550015,4614.656278212783,4596.558450576236,4581.842847627374,4575.312270451494,4570.792745085841,4569.037248107861,4567.403935856762,4566.674392602354,4565.921329620765,4565.492030958051,4565.064139850697,4564.939409840144,4564.834967154617,4564.773589489739,4564.748638237888,4564.73932413674,4564.731612082509
SSA,F3,1.4135253429412842,"[ -6.29440865   7.36579699  11.95803411   5.97211314 -28.35749131
  -1.16592687  10.36819985 -12.37013755  10.62594276  -1.84444638
 -17.9677609   42.00430339   3.00004455   3.85089618 -19.45942026
  -4.62558506  -9.78320633  -9.38194135  19.45245066 -44.41247577
  24.97901467  13.9402378    1.70017195   2.48460491  35.69857877
 -20.97560394 -32.39518317  38.00717621 -63.4307471   55.65585598]",0.0,75443.69751543655,30871.390519165107,23519.372104038153,23519.372104038153,23519.372104038153,23519.372104038153,23519.372104038153,23519.372104038153,23519.372104038153,23519.372104038153,23519.372104038153,23519.372104038153,23519.372104038153,23519.372104038153,23519.372104038153,18764.193496832875,17224.53517406422,15653.560466472238,15653.560466472238,15653.560466472238,15653.560466472238,14575.287089566988,12938.699372928926,12501.952397484614,11944.570770794666,11288.372635327218,10955.024864273637,10542.345558602236,10270.554246989392,10161.612162658304,10022.898645342642,9951.908353100223,9896.581861321833,9861.573070175888,9827.539769676563,9818.409017184176,9809.962750495004,9801.623163784177,9798.441849414105,9796.653438294268,9795.704938682087,9794.929755192647,9794.67465833405,9794.394929484963,9794.266467948271,9794.194998670684,9794.159614368604,9794.133008123643,9794.117425779074
SSA,F3,1.4934968948364258,"[  6.32400219  -2.91220121  14.34902688 -21.82453859  -8.68219181
  15.50831582  -9.40804213   5.98390319  -8.24086307  14.1371168
 -10.34481269   0.68257229  21.4435618  -13.45000373   1.62649054
 -17.93564593   7.14049821  13.08967237  -2.669848    -9.48356995
  -6.37308198  24.80264514  -1.81591729 -27.13425113  10.44916639
   6.61358295 -14.78455626  12.34872701   1.21863663  10.00093252]",0.0,63029.71121258053,26619.357340662096,16226.579528108805,12376.230166929254,10666.634832572234,10666.634832572234,10666.634832572234,9163.828899844153,8446.050779436326,7522.497277998072,7162.750388269139,7061.85846863664,7061.85846863664,7061.85846863664,7061.85846863664,7061.85846863664,7061.85846863664,6199.154015319152,6199.154015319152,6199.154015319152,5943.429017391998,4965.128310796884,3681.000819106026,3285.2174129380837,3285.2174129380837,3125.549073326129,2998.292145654919,2655.9344256483846,2548.497156404757,2506.2421414077885,2490.058862769827,2449.8019931559697,2421.298662143432,2395.6150305444335,2380.732000645607,2376.0566652627836,2373.229119186692,2369.6766794822965,2368.514068290812,2367.7089944096147,2367.167682991725,2366.838328684128,2366.630072797311,2366.473898888379,2366.415770105547,2366.37863877711,2366.363989485471,2366.3525269227493,2366.3463356150414
SSA,F4,1.0216732025146484,"[-17.57473215   7.07999988  -8.10637768  -2.93397911  10.18828345
  -8.22618161  13.66904571  -2.75955121 -10.48439882  -8.3503326
 -11.46718206  17.52525967  -7.28626872 -17.63428474 -17.81840243
  17.30847397  -7.2002504    3.6739727   -5.59273005 -14.63706866
  18.16177034  14.53972959 -18.16997711 -18.16996069  18.05096995
   4.54356503   6.07678488  -3.11919549 -13.24804861  -1.84502068]",0.0,49.930674788273706,39.43130739283016,30.461583142649395,29.0232394718868,27.258614992514214,25.655723193657046,25.5128923458445,25.5128923458445,25.5128923458445,25.5128923458445,25.5128923458445,25.25123962482691,25.25123962482691,25.25123962482691,25.25123962482691,25.25123962482691,25.25123962482691,25.25123962482691,24.173113123095106,24.173113123095106,24.173113123095106,22.379728301658545,21.756658362655674,21.756658362655674,20.20076591079437,20.20076591079437,20.066560355403205,19.507287195104883,18.91212419677659,18.75292734939613,18.64237100892534,18.475141154903266,18.315891005960072,18.298640986299713,18.267326010986114,18.222494055850046,18.203193620693472,18.1934665196026,18.184209214905092,18.178333000279512,18.174872123827573,18.17247898137347,18.171338789949214,18.170660502061168,18.17044829862315,18.17018934780264,18.17005851517017,18.17001124130581,18.16997711352162
SSA,F4,1.0848755836486816,"[ 14.35282855  14.95612266  -1.9055042    9.76819912  -8.55545523
  -7.87921532   4.69461153  -8.16537208  14.9063572   10.56893092
  14.31859374  12.25924875  -4.3007869   -0.34638245  14.96314096
  -3.05675354  -7.20808618  14.9631168   12.86351023 -14.28248093
  -5.74655639  14.8986083   13.92942746  12.21808957  -5.21580588
 -11.65391616  -5.02721263 -14.26485276  -3.09416818   1.25363864]",0.0,55.39733652456148,42.176197760568314,38.94153760280902,37.36532073610234,35.45311546479566,34.130172282720274,34.03893680242137,34.022192790762475,33.50965822893079,32.914245120192604,32.41442744048978,32.118292540063706,31.533351907783462,31.508152252977375,31.304852417431544,30.81545147396462,30.378249732986525,29.983128799140136,29.983128799140136,27.96203924456454,27.247213108150333,23.510294689636126,20.565328132931157,18.582829463837623,18.582829463837623,17.807928892039023,16.666348024269073,16.077091086841186,16.077091086841186,15.557693952101948,15.43552035500132,15.153776756058942,15.04506031143236,15.04506031143236,15.04506031143236,15.024367918502193,15.002630014825693,14.987109094279964,14.975559838573753,14.97093643964445,14.96747375285249,14.965575515655038,14.96467063567448,14.96398733102288,14.963544194045134,14.963339376372339,14.96322386493849,14.963178763058538,14.963140959426667
SSA,F4,1.1317787170410156,"[-16.07595228 -26.46287551 -19.08324925 -26.65910529  -8.58755723
  14.50449203  22.7941774   -2.43703257  12.30064895 -12.60791222
  11.8704234    0.11684247   3.33454783 -10.2669723   26.66218339
  11.6331391   26.66220099   0.0889879   15.87150535   1.73811775
 -11.24570819 -26.65286934   7.4647281  -12.69648831  -7.09062238
 -26.66221113  -6.85143568  -9.90798671 -24.90099622   2.71828132]",0.0,51.50351342813646,43.00067493017228,37.3214350342417,33.841991916947954,32.461580280501245,32.461580280501245,32.461580280501245,32.461580280501245,32.461580280501245,32.461580280501245,32.461580280501245,32.461580280501245,32.461580280501245,32.461580280501245,32.461580280501245,32.461580280501245,32.094531153309546,30.99530899283544,30.99530899283544,30.99530899283544,30.99530899283544,30.99530899283544,30.99530899283544,30.089739985028434,29.36065068253473,28.42212339572794,27.59909583313676,27.59909583313676,27.281002487573307,27.22331548934633,27.09587120662181,26.930496787195676,26.84270512001117,26.78413332475506,26.728965649375922,26.710057421760933,26.680729459181222,26.677942535831846,26.66806364990387,26.667004460100937,26.666041983791473,26.66418419028098,26.663331118016266,26.662728418064358,26.662464460263156,26.662381746616145,26.662296563364347,26.662228217780623,26.66221112767652
PSO,F3,1.0060975551605225,"[ 11.81906891  -7.16697892  -4.5750247    4.04465981 -32.45442464
  42.45045483  -3.78961109 -18.48991546   2.61304052  -0.45951601
   9.32625535  -7.87211813   3.08478742   2.05768074  -7.7689913
  -8.03124151  19.9361601   -0.64955555 -10.51782362   1.49950277
  19.29047297 -29.49072584   5.35452621  12.42785783  12.45309134
 -20.11006617  -9.14824321  14.96025518  14.43157016 -23.52505461]",161649.50298431664,161649.50298431664,161649.50298431664,132456.10691098246,103664.847392108,86869.99336044496,78147.73036037215,74537.01536284172,58568.500210030026,39553.6975084757,30797.02391962183,27620.651920343138,25200.225539473955,22505.94736908979,22505.94736908979,20124.58656681856,16284.608864653641,14316.643034563524,14119.954742188269,11982.578186794051,9691.400256048395,9691.400256048395,8449.4225683827,7668.558386332413,7366.112626732676,6924.444322728411,6532.670099484577,6107.112024177078,6106.503066129997,5699.49998305271,5699.49998305271,5532.23750519228,5379.21054313202,5188.649717726189,4836.05898248168,4712.469686426104,4712.469686426104,4436.583013505146,4270.824158544911,4066.7982309556114,3836.8637907364914,3743.1768213565074,3473.1309498986607,3428.175291478919,3344.9164239584043,3319.40929603556,3268.780826545187,3176.904130428442,3139.9527570002765,3135.5656813168785
PSO,F3,1.100391149520874,"[ -5.39255455   9.68151549  -0.24602454   8.53688807 -29.43863316
  -2.27321041  22.02920945  13.42270454 -15.22167074  -5.55540663
  -2.39158659   1.17477106  27.1318588  -18.57707669 -28.69126339
   1.75032604  38.43020865 -10.02276488 -22.97633043   8.94684658
  26.46818385 -16.72236164 -12.61385645  33.13983455 -45.3291678
  30.76739113 -16.24281069  21.62033489 -32.80633757  39.031603  ]",129710.77092581493,129710.77092581493,129710.77092581493,129710.77092581493,129710.77092581493,129710.77092581493,99565.148712274,72573.38598995673,57532.82798611689,49823.790885764756,45982.78973897216,38699.16128461844,38699.16128461844,34049.76216993683,32541.21872976924,30636.676882681786,29572.285970594112,25329.327109129736,22459.70205535336,18409.042692124942,17691.25448319556,16760.366849812388,16760.366849812388,16552.458144916138,12356.193983413075,11990.552849986396,11990.552849986396,11752.637181464555,11752.637181464555,11039.341364472013,10702.04966548426,9839.466778577096,9362.224923314812,8918.043332684487,8381.259136705667,8229.833135187439,8058.374587690456,7893.344375124874,7807.8977295756495,7506.932964006082,7480.278222777407,7287.8024999536665,7272.5964743344075,7210.234886474838,7042.636944107068,6934.870394059579,6807.650095724906,6720.559981896008,6510.051121716261,6142.0878563419155
PSO,F3,0.9891743659973145,"[-15.68139916  30.78372727 -37.42257979  13.77929256  19.85876416
   0.28689408 -15.20963517   2.70242612   1.97779195 -16.8906327
  20.34965264  10.29844434 -16.54244113   8.55521133 -13.80001872
   5.53044768   3.19516592  -8.41895621  12.0070382  -18.75438263
  21.4207084   -9.32157484  -1.012168    -4.25342599  14.9120953
   4.58651864  -9.31939288   0.86416079  -9.86714412  -0.94073992]",225071.71407304824,225071.71407304824,225071.71407304824,214433.71372065772,159572.6403999193,114448.07954035024,69051.2140271705,41801.759751221034,34923.53613535968,31993.925873884393,31993.925873884393,31001.705033074388,31001.705033074388,29739.970770608852,17708.407264278907,15955.468101635839,15434.13957759879,12152.309866691035,12152.309866691035,10120.2247522613,9925.91138423666,9173.998896940373,8072.129749564488,7735.102918772949,6908.970458507739,6650.485235281241,6180.079060777026,5246.327426354666,4645.440606858338,4411.977266851164,3980.4889142525294,3804.148381283951,3635.765417891386,3591.379677643264,3586.184864267866,3430.4153094132353,3349.009616427643,3344.6181869307607,3189.7912082640705,3170.792746008322,3065.830995610035,3065.830995610035,3065.830995610035,3065.830995610035,3065.830995610035,2858.3447757614804,2733.642021741978,2696.4023716385136,2628.957066528999,2622.974220492719
PSO,F4,0.7857167720794678,"[ 12.82952158   8.82468854 -12.91401241   3.79154871  12.56217959
   0.88117624   4.52854148 -10.45461387  12.90515452  -9.72417041
  -6.75475618  -5.9117034   12.4585416    6.05352552 -10.55009707
   2.76888066 -12.24565958   3.04196336  -4.29511123 -11.65218275
 -12.82480967   5.51462142   7.15239926   4.4681362    6.11588522
  -5.61251006  -9.07973806  12.53890826 -12.88796781 -12.49781709]",75.90599625707557,75.90599625707557,75.90599625707557,70.87444786161409,65.0541946164682,61.597827789386,57.1267597917133,51.58165835071324,47.88213671031875,42.14940479631938,38.463442256467346,33.49002806940081,29.32026743673312,26.895750606205503,26.895750606205503,25.247315621154293,22.31781975536815,19.383760778736367,19.383760778736367,18.929900017133672,18.2263599690099,18.2263599690099,16.40189370035664,16.24852956389566,16.24852956389566,16.064051366268533,15.855467961892044,15.699150808316718,15.440143398324368,15.440143398324368,15.239510556559745,14.919940304122466,14.864409163665407,14.864409163665407,14.864409163665407,14.864409163665407,14.62230684391158,14.168277870583896,14.168277870583896,14.168277870583896,14.168277870583896,14.092802317423473,14.087074807798393,13.938086829839738,13.842632019030262,13.70102666519717,13.342678838606796,13.099828012738694,13.090379913789196,12.914012410816795
